Se.ID,Accession
756835,KY465968
756836,KY465967
764113,KY658697
764117,KY658693
775665,KY989953
775669,KY989949
775664,KY989954
775662,KY989956
775667,KY989951
794479,KY766150
794451,KY778289
794397,KY778345
794065,KY778593
790088,MF373162
790046,MF373204
790049,MF373201
790110,MF373140
790059,MF373191
790099,MF373151
790120,MF373130
790064,MF373186
790106,MF373144
790065,MF373185
790108,MF373142
790047,MF373203
790101,MF373149
790089,MF373161
790121,MF373129
790076,MF373174
800156,MF157735
800155,MF157736
811109,MG171201
817612,MG197146
817745,MG197013
818095,MG196663
817561,MG197197
817942,MG196816
817795,MG196963
817836,MG196922
817922,MG196836
817548,MG197210
818059,MG196699
817622,MG197136
817735,MG197023
818105,MG196653
817816,MG196942
817846,MG196912
817571,MG197187
817961,MG196797
817806,MG196952
817993,MG196765
817704,MG197054
817643,MG197115
817936,MG196822
817684,MG197074
818013,MG196745
818116,MG196642
817725,MG197033
817674,MG197084
817715,MG197043
817632,MG197126
817582,MG197176
817694,MG197064
818047,MG196711
817983,MG196775
817912,MG196846
818003,MG196755
818069,MG196689
817785,MG196973
817971,MG196787
817881,MG196877
90959,DQ672623
830094,MH060485
830093,MH060614
830096,MH060263
830077,MH060884
830095,MH060484
830091,MH060630
1235060,OQ753058
1235379,OQ752739
888701,MK116093
888789,MK115946
888129,MK115343
889047,MK114800
888418,MK114990
888969,MK115138
888098,MK115381
888909,MK115482
887899,MK115694
887734,MK115871
870354,MH897920
870356,MH897918
870359,MH897915
870363,MH897911
870357,MH897917
898224,MK383384
898155,MK383453
898205,MK383403
898200,MK383408
1024645,MW059267
1024229,MW059683
969340,MT189857
969270,MT189927
888669,MK114636
968454,MT190743
1035753,MT794627
760224,KU612900
760223,KU612901
969881,MT189316
1085402,OM209706
1021486,MW062426
1021209,MW062703
1020986,MW062926
962541,MN467271
962847,MN466965
1043436,MW881652
1043407,MW881757
1043333,MW881748
1042932,MZ041494
1043393,MW881686
1043382,MW881697
1043371,MW881708
1043403,MW881768
975269,MT222951
975268,MT222952
1021025,MW062887
953967,MN736700
953961,MN736706
953960,MN736707
1020950,MW062962
894265,MK499378
948714,MN691961
1080070,MZ922538
1164787,MZ868487
1202166,OP701010
889623,MK169677
889670,MK169545
889691,MK169493
889758,MK169834
1031501,MW309891
1069826,MZ662564
1057027,MT744341
1057040,MT744335
1164807,MZ868467
1068197,MW924797
1068192,MW924802
1068190,MW924804
1068189,MW924805
1068185,MW924809
1068182,MW924812
1068180,MW924814
1059944,MW754142
1099127,OL872750
1060341,MZ080640
1060086,MZ080879
1099133,OL872744
1059484,MW753604
1099126,OL872751
1060184,MZ080781
1099128,OL872749
1235981,OQ752137
1236464,OQ751654
1080088,MZ922520
1080128,MZ922480
1080071,MZ922537
1080091,MZ922517
1095295,OL519774
1024842,MW063070
1021651,MW062261
1087315,OM207793
1085864,OM209244
1091507,OM203601
1091427,OM203681
1088856,OM206252
1089177,OM205931
1090191,OM204917
1088801,OM206307
1202107,OP700950
1174277,ON421462
1174265,ON421477
1174261,ON421498
1174257,ON421502
1174251,ON421508
1178280,ON816529
1178356,ON816453
1178139,ON816670
1177844,ON816965
1178551,ON816258
1178780,ON816029
1193910,ON015266
1193887,ON015289
1193901,ON015275
